screen_time,sleep_hours,stress_level,mental_health_status,sleep_quality,productivity,wellness_index
4.68,5.07,Medium,Fair,,,
3.44,7.41,High,Poor,,,
13.07,5.58,Medium,Fair,,,
11.58,8.18,High,Good,,,
1.86,4.1,Low,Good,,,
12.61,6.29,Medium,Good,,,
7.13,8.97,Low,Good,,,
13.31,6.97,Low,Fair,,,
7.98,7.0,Low,Excellent,,,
14.71,7.66,Medium,Good,,,
9.59,6.54,Low,Fair,,,
6.52,4.12,Medium,Good,,,
1.81,4.52,High,Good,,,
4.26,5.53,High,Poor,,,
7.65,6.81,Medium,Poor,,,
6.29,4.83,Medium,Poor,,,
13.21,4.9,High,Fair,,,
7.13,7.68,High,Poor,,,
5.57,8.89,High,Fair,,,
10.84,8.59,Low,Good,,,
11.89,5.57,Medium,Fair,,,
1.65,8.7,Medium,Fair,,,
6.93,8.24,Low,Excellent,,,
4.94,4.18,Low,Excellent,,,
9.7,5.04,High,Excellent,,,
3.24,4.47,High,Good,,,
13.35,4.0,High,Excellent,,,
12.13,7.69,Low,Good,,,
7.8,5.33,Low,Good,,,
13.25,7.28,Low,Poor,,,
5.99,4.38,Medium,Excellent,,,
13.32,8.23,Low,Poor,,,
13.72,8.15,Low,Poor,,,
7.56,5.55,High,Poor,,,
8.56,5.96,Low,Excellent,,,
11.42,8.7,High,Poor,,,
14.79,7.25,High,Fair,,,
3.19,5.0,High,Good,,,
1.6,8.28,Low,Fair,,,
2.06,4.75,Low,Excellent,,,
7.5,6.96,Medium,Poor,,,
12.54,8.49,Low,Excellent,,,
5.64,8.75,Medium,Excellent,,,
12.56,6.86,Low,Good,,,
11.63,8.67,Low,Excellent,,,
9.44,4.88,High,Good,,,
2.04,7.16,Low,Poor,,,
14.77,5.73,High,Excellent,,,
9.92,6.09,Medium,Good,,,
8.36,4.17,Low,Excellent,,,
3.71,8.76,Medium,Fair,,,
11.72,6.54,Low,Excellent,,,
7.78,5.16,Low,Fair,,,
9.0,5.85,Low,Good,,,
12.79,5.64,High,Good,,,
10.01,7.01,Medium,Excellent,,,
7.66,5.74,Medium,Excellent,,,
9.36,8.47,High,Excellent,,,
5.52,7.3,High,Excellent,,,
7.28,5.24,Low,Good,,,
12.98,8.63,High,Good,,,
2.07,4.75,High,Excellent,,,
9.93,8.8,Medium,Fair,,,
2.02,7.64,Low,Excellent,,,
8.09,7.25,Medium,Good,,,
6.43,5.86,High,Fair,,,
7.6,8.55,High,Excellent,,,
13.73,6.84,Medium,Fair,,,
4.9,4.54,Low,Poor,,,
3.98,8.5,Low,Poor,,,
7.34,5.35,Low,Good,,,
9.4,6.66,High,Good,,,
8.86,6.66,High,Good,,,
9.78,6.67,Low,Fair,,,
5.48,8.02,Low,Good,,,
3.66,6.12,Medium,Good,,,
9.92,4.65,High,Fair,,,
2.65,5.3,Low,Fair,,,
2.64,4.76,Low,Excellent,,,
6.22,5.8,Medium,Excellent,,,
8.69,5.16,Low,Poor,,,
14.43,6.59,High,Poor,,,
13.09,5.24,Medium,Excellent,,,
2.77,6.43,Low,Good,,,
1.73,5.43,Low,Excellent,,,
9.61,5.54,Medium,Poor,,,
5.84,6.02,High,Excellent,,,
8.76,6.96,Medium,Good,,,
5.42,6.57,Low,Poor,,,
3.63,8.36,Low,Fair,,,
2.71,7.43,Medium,Poor,,,
1.34,8.82,Medium,Excellent,,,
14.02,4.43,Low,Good,,,
6.73,5.61,Medium,Excellent,,,
6.68,5.66,High,Good,,,
13.01,8.39,High,Good,,,
1.37,5.44,Medium,Fair,,,
8.66,5.36,High,Good,,,
6.06,4.75,Medium,Excellent,,,
4.21,5.5,Medium,Good,,,
5.88,7.38,Medium,Excellent,,,
11.11,5.66,Medium,Good,,,
3.35,4.79,High,Poor,,,
12.74,6.85,Low,Poor,,,
3.14,4.59,High,Poor,,,
12.45,8.64,Low,Good,,,
13.17,8.47,Low,Excellent,,,
6.79,6.0,Low,Excellent,,,
13.78,8.48,Low,Fair,,,
4.42,6.46,Low,Fair,,,
5.45,7.91,Low,Excellent,,,
12.53,5.19,Low,Poor,,,
8.51,6.31,Low,Excellent,,,
4.11,5.44,Low,Good,,,
9.64,5.74,High,Fair,,,
13.2,4.01,Medium,Excellent,,,
4.73,5.62,High,Good,,,
11.71,6.32,Low,Poor,,,
7.46,7.5,Low,Excellent,,,
7.01,6.16,Medium,Poor,,,
8.79,5.67,Low,Excellent,,,
10.81,4.15,Low,Poor,,,
12.19,7.96,Low,Poor,,,
12.18,7.1,Low,Poor,,,
13.45,5.0,High,Good,,,
1.17,7.4,Low,Fair,,,
5.5,6.56,Medium,Excellent,,,
3.99,8.88,Medium,Fair,,,
5.03,8.87,Medium,Poor,,,
1.53,8.93,Medium,Fair,,,
5.29,5.86,Medium,Poor,,,
13.79,7.22,Low,Poor,,,
14.11,6.17,Medium,Excellent,,,
9.47,4.39,Low,Poor,,,
8.22,8.1,High,Excellent,,,
1.57,7.93,Medium,Fair,,,
3.44,6.26,Low,Poor,,,
5.42,7.6,Medium,Good,,,
11.62,4.13,Low,Excellent,,,
8.47,8.87,Low,Fair,,,
6.78,7.17,Low,Poor,,,
5.32,5.42,High,Poor,,,
10.66,8.24,High,Excellent,,,
12.02,4.53,Low,Good,,,
1.62,8.8,Medium,Poor,,,
8.22,4.95,Medium,Poor,,,
13.0,4.13,High,Good,,,
1.25,8.1,Medium,Excellent,,,
4.76,5.1,Medium,Good,,,
2.57,5.78,Low,Good,,,
10.4,8.78,Medium,Excellent,,,
10.71,7.79,Medium,Fair,,,
6.0,7.58,Medium,Good,,,
4.63,6.54,Low,Excellent,,,
14.33,7.83,Low,Excellent,,,
7.94,4.91,High,Fair,,,
14.12,4.78,High,Excellent,,,
14.72,4.75,Low,Fair,,,
14.36,4.55,Low,Fair,,,
1.69,8.2,Medium,Excellent,,,
13.05,7.7,Medium,Fair,,,
10.39,8.51,High,Excellent,,,
8.6,8.83,High,Good,,,
10.23,8.15,High,Fair,,,
13.64,8.25,Low,Excellent,,,
1.9,4.94,Low,Good,,,
12.59,6.24,Low,Poor,,,
12.14,7.54,High,Excellent,,,
4.42,8.68,Medium,Fair,,,
9.65,5.66,Medium,Poor,,,
5.38,7.47,Medium,Poor,,,
13.11,7.12,High,Fair,,,
12.39,7.82,Low,Excellent,,,
8.25,8.13,Medium,Good,,,
10.27,7.86,Medium,Poor,,,
7.33,8.27,Low,Poor,,,
5.65,5.99,Low,Fair,,,
6.96,7.05,Medium,Poor,,,
10.62,8.62,Low,Good,,,
11.13,6.93,High,Excellent,,,
11.56,8.95,High,Excellent,,,
5.36,5.76,Medium,Poor,,,
6.21,8.26,Low,Excellent,,,
13.14,6.39,High,Excellent,,,
10.65,4.25,High,Excellent,,,
2.02,7.86,Medium,Excellent,,,
8.19,6.62,Low,Excellent,,,
3.85,5.56,High,Excellent,,,
10.4,6.93,Medium,Poor,,,
5.33,8.98,Low,Good,,,
1.75,5.65,Low,Fair,,,
14.18,6.68,Low,Good,,,
6.57,7.86,High,Poor,,,
9.26,5.97,Low,Poor,,,
1.99,8.12,Medium,Poor,,,
11.21,6.61,High,Fair,,,
14.14,8.87,Low,Fair,,,
14.42,7.75,High,Fair,,,
2.02,7.6,Low,Excellent,,,
7.96,5.78,High,Excellent,,,
13.24,5.46,High,Good,,,
2.24,5.01,Low,Good,,,
5.1,7.04,Low,Poor,,,
10.63,6.75,Medium,Fair,,,
9.08,7.04,High,Good,,,
9.75,6.38,Low,Good,,,
7.17,6.52,Medium,Poor,,,
14.62,8.69,Medium,Good,,,
10.34,6.59,High,Good,,,
6.3,7.97,Medium,Good,,,
2.71,8.73,High,Fair,,,
7.04,4.6,Medium,Poor,,,
14.72,4.17,Medium,Poor,,,
14.52,4.48,Medium,Fair,,,
14.3,6.05,Medium,Fair,,,
1.25,9.0,Low,Poor,,,
5.79,5.84,High,Fair,,,
13.15,7.88,High,Good,,,
6.42,7.1,Low,Good,,,
9.41,6.55,High,Fair,,,
14.81,5.09,High,Poor,,,
8.7,7.42,Medium,Poor,,,
5.06,4.86,Medium,Good,,,
11.2,5.7,Medium,Fair,,,
8.07,4.53,High,Good,,,
9.98,5.78,Medium,Excellent,,,
8.58,6.0,Medium,Good,,,
8.43,7.76,Low,Fair,,,
8.21,7.11,Medium,Good,,,
9.19,6.47,Low,Poor,,,
2.21,7.86,Low,Excellent,,,
12.42,4.47,Medium,Poor,,,
14.48,4.22,Low,Good,,,
5.23,8.84,High,Excellent,,,
14.13,5.95,Medium,Fair,,,
8.77,8.59,Low,Fair,,,
8.56,8.3,Low,Poor,,,
1.24,5.83,High,Good,,,
9.26,4.84,Low,Good,,,
8.66,5.93,High,Fair,,,
14.37,7.05,Low,Fair,,,
3.75,7.14,High,Poor,,,
6.33,8.97,High,Poor,,,
2.48,8.65,High,Good,,,
12.68,4.24,High,Excellent,,,
10.43,4.86,High,Fair,,,
3.27,8.83,Medium,Excellent,,,
11.72,7.37,Medium,Poor,,,
8.07,8.06,Low,Fair,,,
7.92,7.9,High,Fair,,,
4.79,6.18,Medium,Poor,,,
12.2,5.23,High,Poor,,,
13.23,4.06,High,Fair,,,
1.36,6.06,Low,Poor,,,
9.65,8.05,Medium,Excellent,,,
4.37,7.24,High,Fair,,,
11.81,8.64,Low,Excellent,,,
8.48,6.04,Low,Good,,,
7.57,5.18,Medium,Excellent,,,
11.11,4.08,Medium,Poor,,,
1.57,8.96,Low,Poor,,,
12.17,6.52,Low,Excellent,,,
6.99,4.47,Low,Fair,,,
2.94,6.9,Medium,Poor,,,
7.7,4.46,Medium,Fair,,,
7.5,4.2,Medium,Excellent,,,
4.59,4.85,Medium,Good,,,
2.89,4.27,Medium,Fair,,,
1.9,8.65,Medium,Excellent,,,
11.27,7.51,Medium,Fair,,,
7.38,7.68,Medium,Poor,,,
6.6,7.74,High,Poor,,,
8.34,7.36,Low,Fair,,,
2.43,4.27,Medium,Good,,,
7.23,8.18,High,Excellent,,,
9.03,7.49,Low,Excellent,,,
8.96,8.1,Low,Good,,,
5.96,5.52,Low,Poor,,,
9.38,6.38,High,Good,,,
11.28,5.71,Low,Excellent,,,
11.49,7.47,High,Fair,,,
9.65,4.66,High,Fair,,,
10.32,4.05,Medium,Excellent,,,
14.22,8.28,Low,Good,,,
10.21,6.12,High,Good,,,
1.12,7.24,Medium,Excellent,,,
7.94,8.46,Medium,Good,,,
6.94,5.99,High,Good,,,
9.23,6.91,Medium,Fair,,,
4.77,4.42,Medium,Fair,,,
6.28,4.68,Low,Good,,,
11.6,6.11,High,Poor,,,
8.9,4.81,Medium,Fair,,,
8.65,6.2,Medium,Poor,,,
3.07,8.75,Low,Fair,,,
12.51,5.88,Medium,Fair,,,
5.39,4.98,High,Excellent,,,
3.19,5.9,Medium,Excellent,,,
6.18,5.98,High,Fair,,,
8.13,5.5,Low,Good,,,
12.7,5.58,Medium,Good,,,
1.9,4.5,Low,Fair,,,
1.12,4.57,High,Poor,,,
11.14,4.77,High,Poor,,,
5.82,6.15,Medium,Poor,,,
6.26,5.1,High,Good,,,
5.07,8.03,Medium,Excellent,,,
8.19,5.32,Low,Poor,,,
11.52,8.85,High,Excellent,,,
7.62,7.33,Medium,Excellent,,,
7.5,5.8,Low,Poor,,,
2.12,8.37,High,Poor,,,
4.24,5.55,Medium,Excellent,,,
2.27,6.21,High,Excellent,,,
12.12,8.08,High,Excellent,,,
10.09,6.9,High,Fair,,,
9.2,8.37,High,Poor,,,
14.41,7.53,Low,Excellent,,,
4.69,8.2,Medium,Poor,,,
14.34,5.41,Low,Fair,,,
6.51,8.5,Low,Excellent,,,
4.04,7.77,High,Fair,,,
2.79,4.71,Medium,Poor,,,
10.76,7.46,Medium,Excellent,,,
9.36,7.4,High,Poor,,,
7.66,4.49,Low,Poor,,,
7.36,8.23,Medium,Excellent,,,
14.25,6.82,High,Poor,,,
11.14,8.98,High,Poor,,,
6.57,4.59,High,Excellent,,,
5.49,6.72,Medium,Good,,,
11.83,7.57,Low,Good,,,
6.33,5.91,Low,Good,,,
14.5,5.56,Medium,Poor,,,
4.19,7.05,Medium,Good,,,
6.41,6.51,High,Excellent,,,
2.76,8.92,High,Poor,,,
11.5,5.81,High,Excellent,,,
13.34,8.79,High,Excellent,,,
8.62,4.51,Medium,Excellent,,,
4.47,8.94,Low,Excellent,,,
5.94,4.85,High,Fair,,,
1.56,5.61,Low,Fair,,,
8.74,7.34,Low,Poor,,,
11.83,6.7,Low,Poor,,,
6.69,8.6,Low,Poor,,,
1.96,7.42,High,Good,,,
3.75,7.68,High,Excellent,,,
3.92,7.03,Medium,Poor,,,
5.47,6.26,Low,Fair,,,
12.9,7.42,High,Excellent,,,
1.94,6.76,High,Good,,,
9.44,4.37,Low,Excellent,,,
8.07,6.9,High,Fair,,,
6.42,5.85,Medium,Poor,,,
11.81,6.89,High,Poor,,,
6.87,4.42,Low,Excellent,,,
12.54,5.09,Medium,Poor,,,
12.75,7.13,Low,Excellent,,,
6.02,8.2,High,Good,,,
11.78,7.91,High,Poor,,,
2.83,8.06,High,Excellent,,,
13.03,8.63,Low,Fair,,,
3.24,8.44,High,Excellent,,,
11.11,5.6,Low,Fair,,,
5.96,8.1,Low,Poor,,,
6.92,4.22,Low,Fair,,,
9.5,6.68,High,Excellent,,,
1.56,6.65,Low,Good,,,
11.29,7.23,High,Poor,,,
5.59,5.55,Medium,Poor,,,
4.49,6.52,High,Excellent,,,
9.88,6.16,Low,Poor,,,
7.84,7.65,High,Fair,,,
11.7,8.7,Medium,Fair,,,
10.65,7.45,Low,Excellent,,,
6.8,7.8,Medium,Good,,,
3.4,8.95,Medium,Good,,,
6.88,8.35,Medium,Fair,,,
10.95,4.01,Low,Fair,,,
6.03,6.05,Low,Poor,,,
10.9,6.63,Low,Poor,,,
13.47,6.11,Low,Excellent,,,
11.4,5.7,High,Excellent,,,
12.82,5.56,Medium,Good,,,
11.95,6.48,Low,Poor,,,
6.06,6.97,High,Poor,,,
13.12,4.97,High,Fair,,,
3.01,7.21,Medium,Excellent,,,
2.86,6.5,High,Fair,,,
8.31,6.35,Medium,Excellent,,,
3.79,7.57,Low,Good,,,
2.45,6.97,Medium,Excellent,,,
11.5,5.87,Low,Good,,,
5.01,5.62,High,Poor,,,
3.6,5.99,High,Excellent,,,
14.16,5.36,High,Good,,,
3.75,5.8,Low,Excellent,,,
6.07,6.41,Low,Poor,,,
1.44,5.6,Low,Excellent,,,
1.41,7.38,Low,Good,,,
3.24,8.72,Medium,Excellent,,,
7.43,8.62,High,Good,,,
13.76,7.82,High,Good,,,
10.09,5.03,Medium,Fair,,,
7.25,6.24,Medium,Excellent,,,
14.57,6.93,Low,Excellent,,,
1.62,5.58,Low,Fair,,,
7.71,5.22,Medium,Fair,,,
11.3,4.37,Medium,Poor,,,
5.11,5.46,High,Excellent,,,
7.65,7.45,High,Good,,,
13.13,5.92,Medium,Good,,,
4.28,6.14,High,Poor,,,
11.93,8.01,Medium,Poor,,,
4.74,6.25,High,Fair,,,
1.71,7.29,Low,Poor,,,
7.79,8.77,Low,Fair,,,
11.17,4.59,High,Poor,,,
2.45,8.85,High,Fair,,,
12.69,7.04,Medium,Fair,,,
6.64,5.04,Medium,Poor,,,
13.11,6.58,Low,Poor,,,
4.47,8.02,Low,Excellent,,,
2.17,7.71,Medium,Fair,,,
8.67,8.83,Low,Poor,,,
7.81,6.01,Low,Excellent,,,
8.58,7.27,Medium,Good,,,
4.72,5.12,Medium,Fair,,,
2.51,7.88,Medium,Good,,,
14.61,4.74,High,Good,,,
14.17,7.06,Low,Good,,,
4.05,4.55,High,Good,,,
13.73,7.25,High,Poor,,,
8.88,8.77,High,Fair,,,
9.57,6.43,Medium,Fair,,,
1.2,5.85,High,Poor,,,
4.85,6.77,High,Excellent,,,
3.91,6.5,Medium,Good,,,
3.97,8.98,Medium,Fair,,,
1.92,5.38,Low,Poor,,,
10.73,6.69,High,Good,,,
10.48,7.77,Medium,Poor,,,
10.56,4.77,Medium,Good,,,
10.52,8.37,Low,Poor,,,
13.47,7.29,Low,Fair,,,
5.19,4.93,High,Fair,,,
12.48,6.84,High,Poor,,,
10.79,6.14,Low,Excellent,,,
8.99,6.84,High,Poor,,,
7.41,7.69,Low,Good,,,
4.18,6.93,Medium,Good,,,
8.54,7.75,Low,Fair,,,
9.71,6.85,Medium,Poor,,,
4.74,8.03,Low,Poor,,,
10.35,7.09,High,Good,,,
10.51,6.19,Low,Poor,,,
2.65,5.9,Low,Poor,,,
8.55,4.0,Low,Fair,,,
5.2,7.4,High,Excellent,,,
5.57,7.55,Low,Fair,,,
5.77,7.27,High,Fair,,,
6.12,7.06,Low,Fair,,,
4.79,7.85,Medium,Fair,,,
5.69,7.71,Low,Fair,,,
9.44,4.62,Low,Good,,,
9.18,5.97,Low,Good,,,
10.57,5.44,Low,Fair,,,
10.48,6.91,Medium,Good,,,
9.89,7.41,Medium,Excellent,,,
10.24,5.58,High,Fair,,,
13.1,6.01,Low,Good,,,
5.89,5.67,Medium,Fair,,,
5.28,4.61,High,Fair,,,
4.64,8.08,Medium,Poor,,,
13.03,5.12,High,Good,,,
9.31,6.15,Low,Fair,,,
12.16,6.94,Low,Good,,,
9.19,8.83,Low,Excellent,,,
8.76,6.01,High,Excellent,,,
1.9,5.07,High,Good,,,
11.22,8.72,High,Excellent,,,
1.94,5.4,High,Excellent,,,
6.85,8.1,High,Good,,,
3.12,6.55,Medium,Fair,,,
12.97,4.27,High,Poor,,,
9.2,5.7,Medium,Fair,,,
1.05,6.27,Medium,Poor,,,
11.87,6.21,High,Good,,,
2.28,8.77,Low,Excellent,,,
13.31,7.89,Low,Excellent,,,
8.27,5.91,Medium,Poor,,,
7.52,7.59,High,Poor,,,
14.11,7.54,Medium,Good,,,
14.66,8.91,Medium,Good,,,
10.72,5.32,High,Good,,,
6.92,5.91,Low,Poor,,,
7.04,6.67,Low,Excellent,,,
8.38,5.09,Medium,Poor,,,
7.89,8.55,High,Fair,,,
5.53,4.68,High,Good,,,
9.78,4.44,High,Excellent,,,
12.42,7.49,High,Excellent,,,
14.88,8.54,Low,Excellent,,,
2.73,7.36,High,Excellent,,,
2.6,6.03,Medium,Poor,,,
3.66,6.43,High,Poor,,,
7.02,8.28,High,Fair,,,
11.04,7.44,High,Excellent,,,
14.82,8.5,Medium,Good,,,
4.86,4.72,Medium,Poor,,,
9.74,7.2,Low,Good,,,
11.71,7.37,Low,Fair,,,
9.43,7.85,Low,Fair,,,
8.29,5.09,Low,Fair,,,
13.12,6.0,Medium,Good,,,
9.97,5.42,Medium,Poor,,,
8.65,4.35,Low,Good,,,
11.74,5.82,High,Fair,,,
12.74,7.89,Low,Excellent,,,
11.4,5.3,Low,Fair,,,
9.32,8.68,High,Fair,,,
11.76,4.15,Low,Poor,,,
4.87,7.53,Low,Poor,,,
9.51,8.9,Medium,Fair,,,
5.1,6.61,Medium,Poor,,,
13.29,5.5,Low,Poor,,,
13.97,7.15,Medium,Excellent,,,
11.29,8.26,Medium,Poor,,,
6.04,7.26,High,Excellent,,,
10.66,4.15,High,Poor,,,
1.48,5.92,Medium,Poor,,,
8.15,6.44,High,Poor,,,
3.01,7.23,Low,Fair,,,
5.91,8.44,High,Poor,,,
6.83,4.69,Medium,Good,,,
14.71,7.87,High,Good,,,
4.81,4.5,High,Excellent,,,
6.68,6.31,Medium,Good,,,
2.75,4.39,Low,Good,,,
10.46,4.22,Low,Poor,,,
14.04,4.45,Low,Poor,,,
2.63,4.07,Medium,Good,,,
7.03,8.25,Low,Poor,,,
10.63,8.84,High,Poor,,,
2.99,8.96,Medium,Good,,,
6.56,8.48,Medium,Good,,,
1.55,7.94,High,Good,,,
3.66,5.14,High,Fair,,,
7.93,6.27,Medium,Poor,,,
4.76,4.59,High,Good,,,
10.99,4.39,Low,Fair,,,
12.46,7.91,High,Excellent,,,
7.86,5.07,High,Poor,,,
6.41,6.28,Low,Fair,,,
11.81,8.3,High,Good,,,
14.34,6.61,High,Excellent,,,
6.55,7.92,High,Good,,,
11.55,7.74,High,Good,,,
11.06,8.9,Medium,Good,,,
10.62,7.78,Low,Fair,,,
5.93,6.35,Medium,Good,,,
2.78,6.01,Medium,Fair,,,
14.21,7.46,Low,Good,,,
12.81,7.99,Medium,Poor,,,
1.79,6.63,Low,Good,,,
8.07,6.54,Low,Poor,,,
11.96,8.33,High,Poor,,,
8.47,6.35,Medium,Poor,,,
5.72,7.44,High,Good,,,
5.11,8.16,Medium,Excellent,,,
5.37,6.42,Medium,Excellent,,,
9.9,5.06,Low,Good,,,
6.22,8.46,High,Good,,,
7.56,6.64,Low,Fair,,,
5.06,5.71,Medium,Excellent,,,
8.41,7.52,Medium,Poor,,,
10.07,7.51,Low,Good,,,
11.92,8.06,Medium,Excellent,,,
8.05,6.71,Medium,Excellent,,,
4.76,4.01,Medium,Poor,,,
3.01,6.5,Low,Good,,,
6.84,6.92,High,Excellent,,,
1.55,4.51,Medium,Poor,,,
1.34,4.53,High,Good,,,
5.27,6.74,Low,Fair,,,
2.44,5.93,Medium,Good,,,
13.98,4.56,Medium,Good,,,
1.26,4.6,Medium,Fair,,,
5.9,4.36,Medium,Excellent,,,
5.2,4.39,Medium,Excellent,,,
13.51,8.8,High,Fair,,,
9.14,4.19,High,Excellent,,,
8.22,7.9,Medium,Excellent,,,
4.93,8.3,High,Poor,,,
2.69,5.86,Low,Excellent,,,
8.44,6.74,High,Poor,,,
9.77,7.45,Low,Good,,,
8.13,6.89,High,Excellent,,,
5.55,6.05,Low,Excellent,,,
11.27,6.94,Low,Excellent,,,
7.75,6.29,High,Good,,,
10.44,4.03,Low,Fair,,,
4.29,5.89,High,Poor,,,
7.89,4.36,Medium,Poor,,,
2.5,6.76,Low,Fair,,,
1.9,7.25,High,Excellent,,,
10.78,4.73,High,Excellent,,,
13.08,7.22,High,Fair,,,
2.78,6.05,Medium,Excellent,,,
13.17,6.59,High,Good,,,
5.38,6.97,Low,Good,,,
8.04,5.2,Medium,Good,,,
5.71,6.32,Low,Fair,,,
7.98,6.56,Low,Fair,,,
7.93,8.15,Medium,Fair,,,
2.01,8.98,Medium,Excellent,,,
6.94,7.11,Medium,Good,,,
3.77,5.16,High,Fair,,,
8.43,8.79,High,Poor,,,
3.69,8.11,High,Excellent,,,
12.11,6.26,Low,Poor,,,
14.55,5.84,Medium,Good,,,
3.35,7.23,Low,Good,,,
11.87,4.44,Low,Poor,,,
12.43,4.66,High,Fair,,,
12.11,5.82,Low,Good,,,
8.09,4.06,Low,Good,,,
5.55,4.93,Medium,Fair,,,
7.69,7.41,Medium,Poor,,,
3.67,5.73,Medium,Good,,,
3.32,8.46,High,Excellent,,,
12.22,8.29,Low,Fair,,,
9.68,7.38,Low,Excellent,,,
14.1,7.61,Low,Excellent,,,
3.41,7.09,Medium,Fair,,,
4.69,8.17,Medium,Poor,,,
6.64,8.57,Medium,Fair,,,
14.69,8.08,High,Poor,,,
13.38,5.39,Low,Poor,,,
7.65,8.23,High,Excellent,,,
4.55,5.59,Low,Excellent,,,
7.3,5.83,Medium,Excellent,,,
2.49,8.6,High,Poor,,,
8.41,6.45,Medium,Fair,,,
2.2,6.08,Low,Good,,,
2.95,4.34,Medium,Good,,,
11.52,4.42,Medium,Excellent,,,
9.56,8.92,Low,Good,,,
6.57,6.04,High,Fair,,,
5.27,4.7,High,Poor,,,
3.78,7.55,Medium,Fair,,,
7.04,4.35,High,Good,,,
14.29,5.97,Medium,Poor,,,
12.06,6.4,Medium,Fair,,,
12.84,7.51,Medium,Good,,,
3.03,5.58,Low,Excellent,,,
9.63,8.8,Low,Good,,,
10.44,8.1,Low,Good,,,
4.8,5.19,Low,Excellent,,,
1.69,4.34,Low,Excellent,,,
13.47,6.45,Low,Excellent,,,
2.09,4.02,High,Excellent,,,
14.81,6.6,High,Poor,,,
5.52,4.11,Medium,Fair,,,
7.66,4.21,Medium,Poor,,,
2.23,5.75,Low,Good,,,
2.86,6.51,Medium,Fair,,,
2.34,4.62,Low,Fair,,,
8.08,6.76,Low,Excellent,,,
14.77,4.13,Low,Fair,,,
14.99,5.7,High,Excellent,,,
1.67,5.05,High,Excellent,,,
11.01,6.9,Low,Fair,,,
4.43,7.89,Medium,Good,,,
9.86,5.02,High,Good,,,
14.22,8.65,High,Poor,,,
11.25,7.8,High,Good,,,
10.22,4.06,Low,Fair,,,
8.89,6.01,Low,Good,,,
11.47,8.61,Low,Excellent,,,
11.78,8.32,Low,Fair,,,
5.81,8.74,Medium,Fair,,,
10.78,5.79,Medium,Excellent,,,
13.85,7.85,High,Good,,,
5.89,4.35,Medium,Good,,,
8.42,7.03,High,Excellent,,,
3.7,5.27,Low,Good,,,
9.37,4.8,High,Good,,,
1.15,6.06,Medium,Excellent,,,
10.7,7.32,Low,Fair,,,
4.73,6.9,High,Excellent,,,
7.6,4.65,Low,Excellent,,,
9.19,6.63,High,Fair,,,
12.94,5.23,Medium,Fair,,,
1.9,5.09,High,Good,,,
7.46,4.7,Medium,Good,,,
11.24,6.35,Medium,Poor,,,
11.78,4.97,High,Fair,,,
2.08,5.65,High,Excellent,,,
1.95,7.53,High,Poor,,,
12.23,7.6,High,Good,,,
4.62,6.84,High,Excellent,,,
9.58,8.38,Medium,Poor,,,
2.67,8.1,High,Excellent,,,
10.98,7.62,Low,Excellent,,,
8.53,4.06,High,Poor,,,
8.13,4.48,Low,Poor,,,
6.19,5.18,Medium,Good,,,
8.77,7.85,Low,Excellent,,,
14.39,4.28,Medium,Fair,,,
2.01,6.78,Low,Good,,,
14.68,8.19,Low,Fair,,,
1.98,7.82,Low,Fair,,,
3.99,7.76,High,Poor,,,
9.78,5.21,High,Poor,,,
6.82,4.11,Medium,Fair,,,
11.19,7.09,Medium,Fair,,,
12.14,7.92,Medium,Poor,,,
13.35,7.83,Medium,Excellent,,,
10.45,8.99,Medium,Good,,,
1.47,6.04,Medium,Excellent,,,
11.74,8.3,Low,Good,,,
4.39,6.4,Medium,Good,,,
8.78,8.29,Medium,Poor,,,
11.51,6.4,Low,Good,,,
12.75,7.68,High,Excellent,,,
4.26,6.38,Medium,Excellent,,,
7.69,5.42,Low,Excellent,,,
10.21,5.17,High,Fair,,,
12.62,4.9,Medium,Good,,,
14.38,4.97,Low,Excellent,,,
4.66,6.35,Low,Fair,,,
10.41,7.99,Medium,Good,,,
3.2,8.75,Medium,Poor,,,
14.11,6.04,Medium,Fair,,,
3.32,4.49,Medium,Fair,,,
13.49,5.68,High,Fair,,,
8.79,7.98,Medium,Excellent,,,
8.16,8.25,High,Excellent,,,
3.27,7.21,Medium,Excellent,,,
1.25,8.05,Medium,Excellent,,,
5.85,7.8,High,Excellent,,,
1.81,6.34,Low,Poor,,,
1.67,5.67,High,Excellent,,,
4.58,4.1,Low,Fair,,,
12.97,7.33,Low,Fair,,,
10.4,5.69,Low,Poor,,,
12.71,8.47,Medium,Poor,,,
11.72,6.34,Medium,Excellent,,,
2.57,6.23,Medium,Fair,,,
7.05,5.14,Low,Excellent,,,
5.99,5.34,Low,Fair,,,
3.08,4.46,Medium,Fair,,,
13.16,8.0,High,Fair,,,
9.58,5.41,Medium,Excellent,,,
6.15,6.45,Medium,Good,,,
6.25,8.71,High,Poor,,,
3.42,6.58,High,Excellent,,,
5.1,4.16,Medium,Poor,,,
13.28,7.22,Medium,Good,,,
13.2,5.23,High,Poor,,,
10.64,4.1,High,Poor,,,
11.01,4.51,Low,Excellent,,,
9.42,7.63,High,Fair,,,
9.6,7.91,Medium,Fair,,,
8.14,4.28,High,Fair,,,
1.27,8.69,Medium,Fair,,,
3.29,8.01,High,Good,,,
8.72,6.85,High,Good,,,
3.69,7.22,High,Excellent,,,
11.5,5.26,Low,Excellent,,,
10.98,5.65,High,Good,,,
8.78,6.22,Medium,Fair,,,
